Island,Territory,LT15,Age15_24,Age25_34,Age35_44,Age45_54,Age55_64,GT65
North,FarNorth,0.222198299,0.107977177,0.079933254,0.110560878,0.149208742,0.149908494,0.180213155
North,Whangarei,0.215181981,0.112890655,0.09410802,0.123061336,0.143207856,0.130699088,0.180851064
North,Kaipara,0.200379567,0.104064526,0.081606832,0.11054879,0.147398387,0.156096789,0.199905108
North,Auckland,0.209356787,0.149157571,0.140214051,0.142526227,0.139518915,0.103965243,0.115261206
North,Coromandel,0.163190465,0.078730231,0.070249828,0.107838643,0.138207655,0.172243869,0.269539308
North,Hauraki,0.19541779,0.107142857,0.080357143,0.110175202,0.146226415,0.141846361,0.218834232
North,Waikato,0.239882615,0.120035973,0.10119752,0.143323709,0.155346239,0.121834619,0.118379325
North,Matamata,0.214537152,0.12272857,0.10094187,0.121301494,0.142517363,0.117686233,0.180287318
North,Hamilton,0.214511175,0.177142252,0.146531088,0.13064294,0.120453342,0.096621121,0.114098083
North,Waipa,0.213422474,0.120789406,0.098611468,0.132231936,0.151452816,0.121817948,0.161673952
North,Sth_Waikato,0.236237597,0.129128721,0.099089303,0.122876172,0.138643469,0.116487699,0.15753704
North,Taupo,0.214148965,0.110949038,0.107849394,0.131005561,0.141033823,0.125444434,0.169568785
North,BoPlenty,0.200013732,0.107456743,0.077313925,0.118374073,0.155520461,0.148036254,0.193284812
North,Tauranga,0.205833159,0.113030525,0.106314029,0.131298348,0.134146979,0.116741585,0.192635375
North,Rotorua,0.231780167,0.131605551,0.10913519,0.130824373,0.141668964,0.117498392,0.137487363
North,Whakatane,0.231990456,0.120767184,0.094337891,0.12774158,0.139304396,0.132421767,0.153436726
North,Gisborne,0.245790089,0.127225239,0.104955667,0.12385731,0.135267029,0.122551378,0.140353289
North,Hastings,0.228812518,0.121615533,0.096997501,0.128988654,0.145619137,0.122762463,0.155204194
North,Napier,0.201456947,0.120119491,0.098160474,0.127194591,0.139405692,0.127404224,0.186258582
North,HawkesBay,0.207930139,0.099598773,0.089214067,0.125324522,0.149398159,0.155534576,0.172999764
North,New_Plymouth,0.203736655,0.116184083,0.108662245,0.133573277,0.141863475,0.128032999,0.167947266
North,Taranaki,0.228642365,0.12143099,0.115675432,0.12752511,0.140841891,0.118835346,0.147048866
North,Wanganui,0.20207844,0.1201509,0.094739839,0.115880134,0.142928322,0.131824329,0.192398035
North,Rangitikei,0.210954215,0.118314078,0.097347026,0.114676936,0.151904151,0.130937099,0.175866496
North,Manawatu,0.210882867,0.119645979,0.097683566,0.128824301,0.154938811,0.130026224,0.157998252
North,PalmyNorth,0.199977522,0.181395872,0.133031132,0.12404001,0.126100476,0.102948339,0.13250665
North,Tararua,0.220046288,0.110913299,0.094534449,0.12212925,0.146875556,0.135125512,0.170375645
North,Horowhenua,0.191406639,0.109460672,0.077858638,0.106370252,0.143056525,0.134383411,0.237463862
North,Kapiti,0.184384164,0.095491202,0.070808895,0.121884164,0.145894428,0.1285435,0.252993646
North,Porirua,0.245055391,0.138043037,0.11408851,0.148367264,0.141291108,0.110086422,0.103068268
North,Upper_Hutt,0.203016501,0.126035989,0.108937505,0.148659748,0.154334354,0.113865452,0.145150452
North,Lower_Hutt,0.213729502,0.132164778,0.124744251,0.143463523,0.144776621,0.112834763,0.128286561
North,Wellington,0.172636441,0.17745939,0.167106545,0.15207214,0.139315675,0.096003393,0.095406416
North,Masterton,0.199768756,0.118961973,0.095066804,0.116007194,0.139516958,0.139773895,0.190904419
North,Rural_NI,0.226944455,0.118349907,0.098574508,0.120694219,0.142776118,0.133285439,0.159375354
South,Tasman,0.199949106,0.098352312,0.080539475,0.134105223,0.158534258,0.149055283,0.179464343
South,Nelson,0.188307494,0.110271318,0.103617571,0.135077519,0.154909561,0.133204134,0.174612403
South,Marlborough,0.178494921,0.098472808,0.099647571,0.123833875,0.147743763,0.146638104,0.205168959
South,Grey,0.19869926,0.119084997,0.09733124,0.12895268,0.159677058,0.136353442,0.159901323
South,Westland,0.184315143,0.104083845,0.112034695,0.135164438,0.166606433,0.142392483,0.155402963
South,Hurunui,0.195160031,0.096799375,0.096539162,0.131407754,0.155347385,0.148321624,0.176424668
South,Waimakariri,0.203852616,0.111977916,0.078012482,0.141442631,0.162265963,0.134841575,0.167606817
South,Christchurch,0.178220953,0.14681309,0.130068087,0.136226664,0.142262245,0.116863606,0.149545355
South,Selwyn,0.22275296,0.133880517,0.095196448,0.156821851,0.162473089,0.120492465,0.10838267
South,Ashburton,0.20693988,0.112507249,0.119949739,0.132804949,0.138217669,0.12217282,0.167407694
South,Timaru,0.181135168,0.110443276,0.091250598,0.121166587,0.150877672,0.140222662,0.204904037
South,Waitaki,0.183926257,0.097220222,0.086850065,0.114791877,0.149503097,0.146622497,0.221085986
South,Cntrl_Otago,0.182031512,0.081126383,0.089004358,0.12286289,0.147837747,0.164264164,0.212872947
South,Queenstn,0.18394471,0.10132908,0.188197767,0.175225944,0.137480064,0.106432749,0.107389686
South,Dunedin,0.161518886,0.213487351,0.107354922,0.119405219,0.133850606,0.115538147,0.148844868
South,Clutha,0.207423193,0.112058249,0.094477002,0.139584443,0.15503463,0.134079204,0.157343278
South,Southland,0.22052269,0.11102107,0.116187196,0.13897893,0.151235818,0.126114263,0.135940032
South,Invercargill,0.198351903,0.130338904,0.11983519,0.128772052,0.141829155,0.120357474,0.16051532
South,Rural_SI,0.189556509,0.106421873,0.094102686,0.123112383,0.159354634,0.140120808,0.187331108
