Date,Year,Site,Sex,Age,Weight,Body length,Tail length,Total length,d15N,d13C
25-01-11,2011,Reef Point,M,A,19,81,87,168,20.97,-19.51
25-01-11,2011,Reef Point,M,A,20.5,79,95,174,15.76,-21.28
25-01-11,2011,Reef Point,F,A,18,88,88,176,15.73,-20.94
25-01-11,2011,Reef Point,F,A,19,80,95,175,17.53,-21.11
25-01-11,2011,Reef Point,M,A,19.5,80,96,176,17.18,-20.44
25-01-11,2011,Reef Point,F,A,16,81,88,169,17.69,-21.05
25-01-11,2011,Reef Point,M,A,18.5,82,89,171,16.32,-20.59
25-01-11,2011,Reef Point,M,J,6,56,65,121,15.55,-21.57
25-01-11,2011,Reef Point,M,A,18,80,88,168,18.85,-20.57
25-01-11,2011,Reef Point,M,A,17.5,74,84,158,16.27,-20.24
25-01-11,2011,Reef Point,F,A,19,87,86,173,15.45,-20.68
25-01-11,2011,Reef Point,M,J,5.5,57,56,113,17.04,-21.64
25-01-11,2011,Reef Point,M,J,5.5,54,66,120,15.84,-21.53
25-01-11,2011,Reef Point,M,J,6,56,64,120,17.76,-22.31
25-01-11,2011,Reef Point,M,J,5.5,52,66,118,17.15,-21.22
26-01-11,2011,Reef Point,F,A,21,83,91,174,17.13,-20.73
26-01-11,2011,Reef Point,F,A,16,78,82,160,19.67,-19.24
26-01-11,2011,Reef Point,F,A,17,81,85,166,20.97,-20.49
26-01-11,2011,Reef Point,M,J,8.5,63,71,134,16.95,-21.02
26-01-11,2011,Reef Point,M,J,6,56,67,123,16.2,-21.27
26-01-11,2011,Anchorage Bay,M,A,21.5,84,87,171,19.31,-19.95
26-01-11,2011,Anchorage Bay,M,J,12,67,68,135,19.4,-20.74
26-01-11,2011,Anchorage Bay,F,A,19.5,83,86,169,17.94,-17.91
26-01-11,2011,Reef Point,F,A,23,90,94,184,21.33,-20.04
28-01-11,2011,Anchorage Bay,F,A,21,89,85,174,16.82,-19.9
28-01-11,2011,Anchorage Bay,F,A,14.5,80,82,162,19.84,-19.25
28-01-11,2011,Anchorage Bay,F,J,8.5,60,68,128,13.43,-22.8
28-01-11,2011,Anchorage Bay,M,A,17,80,79,159,20.84,-20.05
28-01-11,2011,Anchorage Bay,M,J,6.5,63,57,120,17.62,-17.79
28-01-11,2011,Anchorage Bay,M,A,18.5,94,85,179,17.53,-20.5
28-01-11,2011,Anchorage Bay,M,J,9,64,68,132,14.19,-21.44
28-01-11,2011,Anchorage Bay,F,A,22,98,87,185,18.05,-17.57
28-01-11,2011,Anchorage Bay,F,J,10,69,70,139,19.58,-18.81
29-01-11,2011,Anchorage Bay,M,J,11.5,68,78,146,15.62,-20.74
29-01-11,2011,Anchorage Bay,F,A,20,85,90,175,17.95,-20.49
29-01-11,2011,Anchorage Bay,M,A,18.5,81,84,165,14.97,-20.67
29-01-11,2011,Anchorage Bay,F,A,19,82,84,166,15.54,-20.91
29-01-11,2011,Anchorage Bay,M,J,12,66,71,137,17.86,-19.62
29-01-11,2011,Anchorage Bay,M,J,10,65,71,136,15.9,-21.88
30-01-11,2011,Anchorage Bay,M,A,17.5,84,76,160,14.7,-21.25
30-01-11,2011,Anchorage Bay,F,J,9,58,72,130,12.13,-21.97
30-01-11,2011,Anchorage Bay,M,J,9.5,66,71,137,10.91,-21.41
04-02-11,2011,North Plains,M,A,21.5,86,79,165,16.23,-22.61
04-02-11,2011,North Plains,F,A,20,87,78,165,16.03,-23.1
04-02-11,2011,North Plains,M,A,19.5,87,83,170,16.02,-23.53
04-02-11,2011,North Plains,M,A,18.5,84,84,168,16.56,-22.59
05-02-11,2011,North Plains,F,A,18,86,80,166,22.43,-24.13
06-02-11,2011,North Plains,F,A,17.5,84,79,163,15.67,-22.78
09-02-11,2011,North Plains,M,A,24,92,84,176,15.95,-22.58
09-02-11,2011,North Plains,F,A,20,89,80,169,15.98,-22.35
10-02-11,2011,North Plains,M,A,21.5,84,83,167,14.67,-22.26
10-02-11,2011,North Plains,F,A,25,91,86,177,15.87,-22.14
10-02-11,2011,North Plains,M,J,8.5,64,67,131,14.97,-22.44
10-02-11,2011,North Plains,M,A,26,89,82,171,17.18,-23.05
10-02-11,2011,North Plains,F,A,19,79,81,160,15.26,-22.55
11-02-11,2011,North Plains,M,A,18.5,88,81.25,162,15.59,-22.18
11-02-11,2011,North Plains,M,A,23,93,83,176,15.53,-22.93
11-02-11,2011,North Plains,M,J,9,68,72,140,15.1,-22.56
11-02-11,2011,North Plains,F,J,8.5,65,68,133,15.9,-22
11-02-11,2011,North Plains,F,A,30.5,100,91,191,14.43,-20.93
11-02-11,2011,North Plains,F,A,17,89,83,172,15.47,-23.12
11-02-11,2011,North Plains,F,J,8,66,69,135,15,-22.9
11-02-11,2011,North Plains,M,J,10.5,69,69,138,14.57,-22.57
13-07-13,2013,North Plains,M,A,18.5,82,97,179,15.76,-22.08
14-07-13,2013,North Plains,F,A,17.5,83,88,171,13.75,-22.61
15-07-13,2013,North Plains,M,A,17,84,85,169,16.19,-22.53
15-07-13,2013,North Plains,M,A,12,75,70,145,13.76,-22.31
16-07-13,2013,North Plains,M,A,17.5,89,90,179,15.37,-20.34
16-07-13,2013,North Plains,M,A,18,84,88,172,14.19,-21.93
16-07-13,2013,North Plains,M,A,14.5,78,82,160,12.27,-22.99
16-07-13,2013,North Plains,F,A,12,77,67,144,12.87,-22.51
16-07-13,2013,North Plains,M,A,19,89,96,185,13.65,-21.7
16-07-13,2013,North Plains,M,A,16,78,77,155,14.96,-22.37
17-07-13,2013,North Plains,F,A,11,69,71,140,15.68,-22.36
17-07-13,2013,North Plains,F,A,15,85,86,171,11.92,-22.71
17-07-13,2013,Reef Point,M,A,18,82,79,161,18.87,-20.66
17-07-13,2013,Reef Point,M,A,19.5,80,80,160,15.14,-21.77
17-07-13,2013,Reef Point,F,A,24,93,87,180,13.39,-21.26
17-07-13,2013,Reef Point,M,A,20,89,80,169,16.92,-20.85
17-07-13,2013,Reef Point,M,A,19.5,80,76,156,20.8,-20.59
17-07-13,2013,Reef Point,M,A,20,87,80,167,12.88,-21.78
17-07-13,2013,Reef Point,M,A,18,77,82,159,13.16,-21.33
17-07-13,2013,Reef Point,F,A,18.5,79,81,160,13.8,-21.76
17-07-13,2013,Reef Point,F,A,18,82,74,156,15.22,-21.68
17-07-13,2013,Reef Point,M,A,18.5,85,84,169,12.46,-21.79
17-07-13,2013,Reef Point,M,A,19,84,76,160,16.76,-21.18
17-07-13,2013,Reef Point,F,A,15,77,73,150,14.44,-21.19
17-07-13,2013,Reef Point,M,A,17,80,78,158,11.5,-21.98
17-07-13,2013,Reef Point,M,A,20.5,90,82,172,16.53,-20.59
17-07-13,2013,Reef Point,M,A,17.5,84,89,173,12.01,-22.18
17-07-13,2013,Reef Point,M,A,25,96,94,190,13.91,-20.79
17-07-13,2013,Reef Point,M,A,19,85,78,163,17.94,-21.59
17-07-13,2013,Reef Point,M,A,19,88,86,174,14.01,-21.64
17-07-13,2013,Reef Point,M,A,21.5,80,82,162,16.08,-21.36
17-07-13,2013,Reef Point,M,A,19.5,81,82,163,18.32,-19.7
17-07-13,2013,Reef Point,F,A,25,90,90,180,13.45,-21.62
17-07-13,2013,Reef Point,M,A,19.5,88,81,169,11.91,-21.88
18-07-13,2013,North Plains,M,A,13.5,76,76,152,14.62,-22.49
18-07-13,2013,North Plains,F,A,11.5,73,75,148,11.46,-22.72
19-07-13,2013,North Plains,F,A,13.5,80,69,149,11.02,-21.94
19-07-13,2013,North Plains,F,A,13,78,71,149,12.81,-21.83
19-07-13,2013,North Plains,F,A,12.5,83,81,164,11.61,-22.33
19-07-13,2013,North Plains,F,A,13,85,77,162,12.25,-22.53
19-07-13,2013,North Plains,F,A,11.5,79,79,158,12.05,-22.78
19-07-13,2013,North Plains,F,A,15,92,88,180,12.12,-22.52
19-07-13,2013,North Plains,F,A,14,82,76,158,13.35,-22.39
22-07-13,2013,Anchorage Bay,M,A,20.5,88,82,170,15.1,-22.39
22-07-13,2013,Anchorage Bay,M,A,20.5,84,78,162,15.17,-22.4
22-07-13,2013,Anchorage Bay,F,A,18.5,86,77,163,17.68,-20.5
22-07-13,2013,Anchorage Bay,F,A,18,87,74,161,15.17,-21.52
22-07-13,2013,Anchorage Bay,F,A,20,86,73,159,13.3,-20.68
22-07-13,2013,Anchorage Bay,F,A,18.5,85,82,167,11.87,-20.04
22-07-13,2013,Anchorage Bay,M,A,25.5,90,89,179,12,-19.31
22-07-13,2013,Anchorage Bay,M,A,18.5,92,80,172,11.47,-19.73
22-07-13,2013,Anchorage Bay,M,A,25,95,86,181,15.78,-20.28
22-07-13,2013,Anchorage Bay,F,A,20.5,90,83,173,15.21,-20.86
22-07-13,2013,Anchorage Bay,M,A,26,98,87,185,16.3,-18.39
23-07-13,2013,Anchorage Bay,M,A,19,86,76,162,11.26,-22.59
23-07-13,2013,Anchorage Bay,M,A,21.5,85,85,170,15.21,-19.89
23-07-13,2013,Anchorage Bay,F,A,17.5,87,76,163,22.48,-18.32
23-07-13,2013,Anchorage Bay,F,A,20.5,88,80,168,13.94,-18.79
23-07-13,2013,Anchorage Bay,M,A,25.5,90,89,179,13.52,-20.54
23-07-13,2013,Anchorage Bay,M,A,24,100,89,189,17.74,-16.96
23-07-13,2013,Anchorage Bay,M,A,29,94,93,187,14.78,-18.99
23-07-13,2013,Anchorage Bay,F,A,20,89,80,169,15.51,-20.32
23-07-13,2013,Anchorage Bay,M,A,22.5,93,90,183,15.26,-18.24
23-07-13,2013,Anchorage Bay,F,A,18.5,88,74,162,19.25,-20.52
