GrowthMed,GenTime,Temperature
What growth medium was used?,What is the generation time (pop.n Doubling)?,What was the temperature?
Diluted,59.1755354707456,35
Diluted,68.3045806346751,35
Diluted,63.4031274417736,35
Diluted,63.4965320475824,35
Diluted,79.1411199752794,35
Diluted,,35
Diluted,82.9197891914459,35
Diluted,78.3536745168653,35
Diluted,74.047022166164,35
Diluted,85.784784639514,35
Diluted,72.1823384617697,35
Diluted,79.5333842301981,35
Diluted,93.6509334159111,35
Diluted,69.5992464265582,35
Diluted,65.8011404694939,35
Diluted,52.5059896809356,35
Diluted,102.531380248348,35
Diluted,71.4817050271679,35
Diluted,50.0911423779508,35
Diluted,72.7911114612483,35
Diluted,68.5996277848057,35
Diluted,110.021454963649,35
Diluted,60.0517298877749,35
Diluted,76.4809172243166,35
Diluted,70.8985515977147,35
Diluted,93.0363233992571,35
Diluted,84.8718258510994,35
Diluted,70.4498398918932,35
Diluted,56.2144044233582,35
Diluted,55.9003453121273,35
Diluted,51.922696590217,35
Diluted,70.059881836369,35
Diluted,81.3694338323062,35
Diluted,59.2751210724483,35
Diluted,76.7495643300251,35
Diluted,48.4679179404255,35
Diluted,78.3251875880873,35
Diluted,97.4684841262229,35
Diluted,46.2935771580633,35
Diluted,51.1304003883941,35
Diluted,108.770643926731,35
Diluted,53.0603808987579,35
Diluted,49.269421655981,35
diluted,66.5360235026924,35
Diluted,44.7961282556326,35
Diluted,58.3319066703047,35
Diluted,60.313351270874,35
Diluted,84.7477629481122,35
Diluted,58.3133168200606,35
Diluted,63.3187172633737,35
Full,27.0252884765558,35
Full,29.4794982203745,35
Full,25.2877886531613,35
Full,23.5197249909515,35
Full,32.7591921593813,35
Full,19.3941097298385,35
Full,27.1335748813232,35
Full,24.3322385336783,35
Full,24.4337224000676,35
Full,24.420062467487,35
Full,34.646202992566,35
Full,29.7030172266311,35
Full,33.6290668613024,35
Full,24.9470763055903,35
Full,27.1777654679047,35
Full,30.3969754357504,35
Full,32.1566049335246,35
Full,17.43647122141,35
Full,23.0804191585952,35
Full,23.7445093232409,35
Full,32.3011293210694,35
Full,,35
Full,24.0777084755386,35
Full,25.9969987602617,35
Full,34.3773782062978,35
Full,25.7550372074291,35
Full,28.5150219197895,35
Full,29.4089228814342,35
Full,28.8175383926985,35
Full,28.1509448567053,35
Full,30.0152677822143,35
Full,27.3912076608913,35
Full,19.8700100034102,35
Full,24.644106752961,35
Full,22.4860262214673,35
Full,22.1471906915075,35
Full,19.9756201743758,35
Full,28.8545613167407,35
Full,23.433131137126,35
Full,30.5117134742114,35
Full,31.1827849778341,35
Full,19.7898966747735,35
Full,28.7468990605466,35
Full,18.5680479448478,35
Full,33.9905030846966,35
Full,33.5506090683535,35
Full,29.8731462164773,35
Full,24.2714082574562,35
Full,35.9960053328458,35
NA,29.6164499874823,35
Full,29.1802958128208,25
Full,36.2553288434884,25
Full,46.5981599226889,25
Full,30.6548128508651,25
Full,12.8112012917175,25
Full,25.8926157736212,25
Full,17.4646394115839,25
Full,32.104366333725,25
Full,22.385292391104,25
Full,29.9653083284782,25
Full,45.6700934682991,25
Full,29.029220366513,25
Full,51.8712070582349,25
Full,40.5640529001304,25
Full,35.0939332272568,25
Full,38.2809252658911,25
Full,33.800086457807,25
Full,35.0172648483942,25
Full,27.7606301531936,25
Full,21.3647958449901,25
Full,23.0604885602957,25
Full,12.2508009230942,45
Full,26.0061678806026,45
Full,27.5863347669445,45
Full,36.2517619903199,45
Full,25.9677915993326,45
Full,10.6798264751458,45
Full,25.5386736926777,45
Full,19.3220431563062,45
Full,30.8004663664563,45
Full,39.9908914966337,45
Full,35.809368117938,45
Full,22.4145666224742,45
Full,19.5632039674661,45
Full,14.418393673671,45
Full,23.0159298433777,45
Full,38.8539201397252,45
Full,17.0672151093585,45
Full,26.9243796338786,45
Full,37.5309279068834,45
