"frying_time_s","frying_temp_c","method"
0,180,"Room Temperature"
15,166.44,"Room Temperature"
30,151.11,"Room Temperature"
45,144.42,"Room Temperature"
60,140.93,"Room Temperature"
75,139.69,"Room Temperature"
90,139.49,"Room Temperature"
105,139.69,"Room Temperature"
120,139.79,"Room Temperature"
135,141.03,"Room Temperature"
150,141.85,"Room Temperature"
165,143.29,"Room Temperature"
180,144.94,"Room Temperature"
195,145.97,"Room Temperature"
210,148.64,"Room Temperature"
225,151.73,"Room Temperature"
240,154.2,"Room Temperature"
255,156.98,"Room Temperature"
270,160.37,"Room Temperature"
285,169.94,"Room Temperature"
300,175.19,"Room Temperature"
315,178.17,"Room Temperature"
330,179.2,"Room Temperature"
345,179.51,"Room Temperature"
360,180,"Room Temperature"
0,180,"Microwave"
15,168.29,"Microwave"
30,155.53,"Microwave"
45,148.13,"Microwave"
60,145.56,"Microwave"
75,144.22,"Microwave"
90,144.12,"Microwave"
105,145.04,"Microwave"
120,145.76,"Microwave"
135,146.58,"Microwave"
150,147.61,"Microwave"
165,149.05,"Microwave"
180,150.8,"Microwave"
195,152.65,"Microwave"
210,154.4,"Microwave"
225,157.8,"Microwave"
240,162.22,"Microwave"
255,167.67,"Microwave"
270,171.79,"Microwave"
285,175.8,"Microwave"
300,177.86,"Microwave"
315,179.92,"Microwave"
330,180.02,"Microwave"
345,180.02,"Microwave"
360,180,"Microwave"
0,180,"Chiller"
15,167.06,"Chiller"
30,152.55,"Chiller"
45,145.86,"Chiller"
60,142.78,"Chiller"
75,141.85,"Chiller"
90,142.57,"Chiller"
105,142.98,"Chiller"
120,143.5,"Chiller"
135,144.53,"Chiller"
150,145.45,"Chiller"
165,147.41,"Chiller"
180,148.44,"Chiller"
195,149.88,"Chiller"
210,152.24,"Chiller"
225,156.36,"Chiller"
240,160.27,"Chiller"
255,164.79,"Chiller"
270,169.94,"Chiller"
285,173.23,"Chiller"
300,175.6,"Chiller"
315,178.27,"Chiller"
330,178.27,"Chiller"
345,178.99,"Chiller"
360,180,"Chiller"
0,180,"Control"
15,169.42,"Control"
30,156.26,"Control"
45,147.1,"Control"
60,142.98,"Control"
75,138.35,"Control"
90,136.19,"Control"
105,136.5,"Control"
120,136.19,"Control"
135,137.74,"Control"
150,139.07,"Control"
165,140,"Control"
180,142.26,"Control"
195,142.98,"Control"
210,144.84,"Control"
225,150.08,"Control"
240,153.07,"Control"
255,158.21,"Control"
270,162.33,"Control"
285,166.54,"Control"
300,171.48,"Control"
315,172.72,"Control"
330,176.52,"Control"
345,176.93,"Control"
360,180,"Control"
