Species,Length,Age
Haliotis iris,1.8,1.49788380738302
Haliotis australis,5.4,11.8770100884525
Haliotis australis,4.8,5.4169907818432
Haliotis iris,5.75,4.49779894352392
Haliotis iris,5.65,5.5007890744854
Haliotis iris,2.8,2.50097227774181
Haliotis australis,5.9,6.4893798497732
Haliotis iris,3.75,5.00149620780346
Haliotis australis,7.2,8.55858257285719
Haliotis iris,4.25,5.49923275814507
Haliotis australis,6,7.50267746272438
Haliotis australis,4.7,6.08921312468688
Haliotis iris,4.75,3.99941502083685
Haliotis iris,6.25,5.00169830729555
Haliotis iris,4.7,4.00076008729958
Haliotis iris,3.5,3.50035809468793
Haliotis australis,6.05,7.10204985897273
Haliotis iris,5.15,4.00210439746829
Haliotis australis,5.65,7.56052410085178
Haliotis australis,5,7.88536549756485
Haliotis iris,6.15,5.99881413426011
Haliotis australis,6.25,6.44777421143327
Haliotis australis,6.1,6.68852141295088
Haliotis iris,6.75,10.0016408160936
Haliotis australis,6.2,6.18029671170069
Haliotis australis,6.3,5.79974985090491
Haliotis iris,4.15,3.50063568405644
Haliotis australis,6.7,7.44015154660659
Haliotis australis,6.85,6.92288978244841
Haliotis iris,4.75,4.49880486693812
Haliotis iris,5.95,3.99975920946126
Haliotis iris,3.45,3.49856487948297
Haliotis iris,3.25,3.00047262961659
Haliotis iris,5,4.00227636424912
Haliotis iris,6.05,4.50114923770783
Haliotis iris,4.55,4.49995546405361
Haliotis iris,5.75,5.0010717530336
Haliotis iris,5.1,3.00006927761798
Haliotis iris,5.45,5.00059316774976
Haliotis iris,6.6,5.50049484008783
Haliotis australis,6.15,7.58170410095225
Haliotis iris,2.85,2.50059860970098
Haliotis australis,5.9,8.04004079950335
Haliotis iris,3.1,3.50097021974327
Haliotis iris,6,7.49972694213077
Haliotis iris,3.4,2.99936252444373
Haliotis iris,4.5,2.99862024708702
Haliotis iris,4.7,3.99951302106335
Haliotis australis,5.8,7.58062832600525
Haliotis australis,3.6,7.50123469323139
Haliotis australis,5.75,6.56789458692122
Haliotis australis,5,9.03200494432924
Haliotis iris,6.5,5.50018981381291
Haliotis iris,6.45,4.99943210997502
Haliotis iris,3.55,3.49872474232623
Haliotis iris,4.75,4.99998768380047
Haliotis iris,6.05,4.99924603133192
Haliotis australis,6.7,12.7388947894032
Haliotis australis,4.65,6.01007034994615
Haliotis australis,5.75,8.08889795833344
