"Location","Habitat","Month","Site","Nyl","Phe","Tet","Pac"
"West","Forest",1,"WF1",0,0,0,157
"West","Grass",1,"WG1",0,2,7,37
"West","Urban",1,"WU1",3,7,0,0
"West","Forest",2,"WF2",0,0,0,31
"West","Grass",2,"WG2",5,0,25,0
"West","Forest",3,"WF3",0,0,0,21
"West","Grass",3,"WG3",0,3,2,1
"West","Urban",3,"WU3",0,1,0,0
"Central","Forest",1,"CF1",0,0,0,1
"Central","Grass",1,"CG1",0,3,22,2
"Central","Scrub",1,"CS1",1,0,5,1
"Central","Forest",2,"CF2",0,0,0,3
"Central","Grass",2,"CG2",0,7,30,1
"Central","Urban",2,"CU2",22,109,54,0
"Central","Scrub",2,"CS2",15,1,35,4
"Central","Forest",3,"CF3",0,0,0,1
"Central","Grass",3,"CG3",0,13,14,2
"Central","Urban",3,"CU3",10,47,7,0
"Central","Scrub",3,"CS3",2,0,4,0
"North","Forest",1,"NF1",0,0,0,61
"North","Grass",1,"NG1",0,0,0,10
"North","Scrub",1,"NS1",1,0,0,27
"North","Forest",2,"NF2",0,0,0,16
"North","Grass",2,"NG2",0,0,0,1
"North","Urban",2,"NU2",69,43,0,0
"North","Scrub",2,"NS2",0,0,0,8
"North","Forest",3,"NF3",0,0,0,9
"North","Grass",3,"NG3",0,0,0,1
"North","Urban",3,"NU3",4,19,0,0
"North","Scrub",3,"NS3",0,0,0,9
