"Cabinet","Species","Plant","Count"
1,"A",12,8
1,"B",14,7
1,"C",11,7
1,"D",16,5
1,"E",7,3
1,"F",9,4
1,"G",2,1
1,"H",10,2
1,"I",13,3
1,"J",4,4
1,"K",15,6
1,"L",6,3
1,"M",5,5
1,"N",3,2
1,"O",1,2
1,"P",8,2
2,"A",28,2
2,"B",30,1
2,"C",27,1
2,"D",32,1
2,"E",23,1
2,"F",25,1
2,"G",18,0
2,"H",26,1
2,"I",29,2
2,"J",20,1
2,"K",31,1
2,"L",22,0
2,"M",21,0
2,"N",19,1
2,"O",17,0
2,"P",24,1
3,"A",44,73
3,"B",46,23
3,"C",43,31
3,"D",48,21
3,"E",39,7
3,"F",41,19
3,"G",34,3
3,"H",42,8
3,"I",45,35
3,"J",36,8
3,"K",47,42
3,"L",38,12
3,"M",37,8
3,"N",35,5
3,"O",33,9
3,"P",40,9
4,"A",60,7
4,"B",62,9
4,"C",59,4
4,"D",64,6
4,"E",55,2
4,"F",57,2
4,"G",50,1
4,"H",58,1
4,"I",61,4
4,"J",52,1
4,"K",63,5
4,"L",54,2
4,"M",53,1
4,"N",51,1
4,"O",49,1
4,"P",56,1
