ID,Block,Plot,Row,Fungicide,Yield
1,1,1,1,F3,575
2,1,1,2,F3,383
3,1,1,3,F3,533
4,1,1,4,F3,497
5,1,2,1,Control,203
6,1,2,2,Control,260
7,1,2,3,Control,219
8,1,2,4,Control,246
9,1,3,1,F2,507
10,1,3,2,F2,513
11,1,3,3,F2,424
12,1,3,4,F2,508
13,1,4,1,F1,490
14,1,4,2,F1,367
15,1,4,3,F1,391
16,1,4,4,F1,280
17,1,5,1,F4,497
18,1,5,2,F4,494
19,1,5,3,F4,497
20,1,5,4,F4,424
21,2,1,1,F2,699
22,2,1,2,F2,763
23,2,1,3,F2,766
24,2,1,4,F2,752
25,2,2,1,Control,556
26,2,2,2,Control,519
27,2,2,3,Control,541
28,2,2,4,Control,596
29,2,3,1,F3,827
30,2,3,2,F3,886
31,2,3,3,F3,857
32,2,3,4,F3,842
33,2,4,1,F4,784
34,2,4,2,F4,689
35,2,4,3,F4,666
36,2,4,4,F4,641
37,2,5,1,F1,728
38,2,5,2,F1,675
39,2,5,3,F1,774
40,2,5,4,F1,819
41,3,1,1,Control,699
42,3,1,2,Control,629
43,3,1,3,Control,567
44,3,1,4,Control,657
45,3,2,1,F2,693
46,3,2,2,F2,771
47,3,2,3,F2,853
48,3,2,4,F2,835
49,3,3,1,F3,776
50,3,3,2,F3,850
51,3,3,3,F3,771
52,3,3,4,F3,803
53,3,4,1,F4,643
54,3,4,2,F4,735
55,3,4,3,F4,745
56,3,4,4,F4,677
57,3,5,1,F1,736
58,3,5,2,F1,758
59,3,5,3,F1,734
60,3,5,4,F1,748
61,4,1,1,F3,348
62,4,1,2,F3,390
63,4,1,3,F3,432
64,4,1,4,F3,434
65,4,2,1,F2,410
66,4,2,2,F2,523
67,4,2,3,F2,471
68,4,2,4,F2,452
69,4,3,1,F1,338
70,4,3,2,F1,364
71,4,3,3,F1,598
72,4,3,4,F1,420
73,4,4,1,Control,264
74,4,4,2,Control,216
75,4,4,3,Control,258
76,4,4,4,Control,182
77,4,5,1,F4,528
78,4,5,2,F4,515
79,4,5,3,F4,586
80,4,5,4,F4,627
